code,description
PUSH_TOKEN_MISSING,Push token eksik.
PUSH_SEND_FAIL,Push gönderimi başarısız.
WS_SEND_FAIL,WebSocket gönderimi başarısız.
TTL_DRIFT_DETECTED,TTL sapması tespit edildi.
CHANNEL_DB_FAIL,Kanal DB hatası.
CHANNEL_WS_UPGRADE_FAIL,Kanal WS upgrade hatası.
CHANNEL_PERMISSION_DENIED,Kanal izin reddi.
CHANNEL_QUOTA_EXCEEDED,Kanal kota aşıldı.
